id_coast_1,H3_int_4
0-E,595049190371885055
0-E,594841623192403967
0-E,595549622781345791
0-E,594561625684443135
0-E,595533903201042431
0-E,595346290439618559
0-E,595027852974358527
0-E,594632432515284991
0-E,595123776773947391
0-E,594765817019629567
0-E,595627816955936767
0-E,595028024773050367
0-E,595626227818037247
0-E,595273628182904831
0-E,595127805453271039
0-E,595531077112561663
0-E,594885603657515007
0-E,594631539162087423
0-E,595542475955765247
0-E,594661148666626047
0-E,595274607435448319
0-E,595531583918702591
0-E,596174669371932671
0-E,594562235569799167
0-E,595249782524477439
0-E,595560540588212223
0-E,594626488280547327
0-E,595612440973017087
0-E,595006403907682303
0-E,594558859725504511
0-E,594651527939883007
0-E,595109448763047935
0-E,596220127305793535
0-E,595122453924020223
0-E,594575610097958911
0-E,595613385865822207
0-E,595005484784680959
0-E,595338997585149951
0-E,595051853251608575
0-E,594779741303603199
0-E,595128518417842175
0-E,595054756649500671
0-E,595267245861502975
0-E,594767337438052351
0-E,596175262077419519
0-E,595123871263227903
0-E,595029622500884479
0-E,595047489564835839
0-E,595560609307688959
0-E,595321869255573503
0-E,594863287007444991
0-E,595066928586817535
0-E,595651293247176703
0-E,594784379868282879
0-E,595124678717079551
0-E,595322075414003711
0-E,595278636114771967
0-E,595614399478104063
0-E,595644352580026367
0-E,594574235708424191
0-E,595345251057532927
0-E,595021505012695039
0-E,595940172747505663
0-E,595060864092995583
0-E,595919453825269759
0-E,595053760217087999
0-E,595052214028861439
0-E,595616873379266559
0-E,595943153454809087
0-E,594573823391563775
0-E,595479863922524159
0-E,595940000948813823
0-E,594776056221663231
0-E,595924075210080255
0-E,595559879163248639
0-E,595924728045109247
0-E,596235632137732095
0-E,595603421541695487
0-E,595934237102702591
0-E,596261479250919423
0-E,595923602763677695
0-E,595628942237368319
0-E,595063303634419711
0-E,595619957165785087
0-E,595031838704009215
0-E,595339994017562623
0-E,594764674558328831
0-E,595617431725015039
0-E,595029493651865599
0-E,594830378968023039
0-E,595610499647799295
0-E,595532700610199551
0-E,595056062319558655
0-E,594547349213151231
0-E,595342717026828287
0-E,595349322686529535
0-E,595255967277383679
0-E,595273825751400447
0-E,594849921069219839
0-E,594772611657891839
0-E,594783297536524287
0-E,595641887268798463
0-E,595299561195438079
0-E,595138182094258175
0-E,594830593716387839
0-E,595941066100703231
0-E,595661601168687103
0-E,594669017046712319
0-E,594662334077599743
0-E,594766950890995711
0-E,596192218608304127
0-E,594767887193866239
0-E,594573608643198975
0-E,595031074199830527
0-E,595250873446170623
0-E,595123055219441663
0-E,594786596071407615
0-E,595330974586241023
