id_port_1,H3_int_8
CHAUMONT,613255800988631039
SACKETS HARBOR,613255553604386815
SACKETS HARBOR,613255553610678271
OSWEGO,613255499214749695
SODUS BAY,613256572050604031
ROCHESTER,613256528637460479
YOUNGSTOWN,613256710229852159
PORT COLBORNE,613256677470240767
PORT MAITLAND,613240900786585599
PORT MAITLAND,613240900794974207
PORT DOVER,613240911175876607
PORT DOVER,613240911184265215
PORT STANLEY,613240556574736383
RONDEAU,613240534825172991
PELEE I NORTH WHARF,613240666270466047
PELEE I WEST DOCK,613240662332014591
PELEE I WEST DOCK,613240662334111743
LEAMINGTON,613240698411417599
KINGSVILLE,613240654836793343
AMHERSTBURG,613240655941992447
WINDSOR,613240706250571775
TONAWANDA,613256679351386111
TONAWANDA,613256679342997503
BUFFALO,613239882535403519
BUFFALO,613239882539597823
DUNKIRK,613240907457626111
ERIE,613240891393441791
CONNEAUT,613240640867663871
ASHTABULA,613240642553774079
ASHTABULA,613240642492956671
FAIRPORT,613240528177201151
FAIRPORT,613240528158326783
CLEVELAND,613240760380162047
LORAIN,613240729277300735
VERMILION,613240745291153407
HURON,613240740000038911
SANDUSKY,613240746025156607
SANDUSKY,613240746016767999
PORT CLINTON,613238632255324159
PUT IN BAY,613240665918144511
PUT IN BAY,613240665909755903
TOLEDO,613240682577919999
TOLEDO,613240681279782911
MONROE,613240686111621119
MONROE,613240679889371135
MONROE,613240686107426815
TRENTON,613240656168484863
TRENTON,613240656160096255
WYANDOTTE,613240660155170815
ROUGE RIVER,613240660494909439
ROUGE RIVER,613240660457160703
DETROIT,613240706229600255
DETROIT,613240706290417663
ALGONAC/WALPOLE ISLAND,613240692677804031
ALGONAC/WALPOLE ISLAND,613240692738621439
SOMBRA,613240939158175743
SOMBRA,613240939162370047
COURTRIGHT,613240959966117887
SARNIA,613240931899932671
SARNIA,613240931902029823
POINT EDWARD,613240931841212415
GODERICH,613182869096890367
PORT ELGIN,613182895076409343
SOUTHAMPTON,613182899211993087
SOUTHAMPTON,613182899207798783
TOBERMORY,613183158390620159
LIONS HEAD,613183139008741375
LIONS HEAD,613183138784346111
WIARTON,613183143970603007
OWEN SOUND,613183144706703359
MEAFORD,613256650593140735
THORNBURY,613256647831191551
THORNBURY,613256647833288703
COLLINGWOOD,613256649511010303
COLLINGWOOD,613256649420832767
PENETANGUISHENE,613256898338095103
PENETANGUISHENE,613256898331803647
MIDLAND,613256898017230847
TIFFIN,613256898069659647
PORT MCNICOLL,613256635596406783
VICTORIA HARBOUR,613256635690778623
WAUBAUSHENE,613256882158567423
PORT SEVERN,613256882208899071
PORT SEVERN,613256882210996223
DEPOT HARBOUR,613256888947048447
DEPOT HARBOUR,613256888938659839
PARRY SOUND,613256894028447743
BYNG INLET,613256126430969855
BYNG INLET,613256126458232831
KEY HARBOUR,613256146804801535
KEY HARBOUR,613256146767052799
KILLARNEY,613183113723379711
MANITOWANING,613183112744009727
SHEGUIANDAH,613183111745765375
LITTLE CURRENT,613183072386416639
LITTLE CURRENT,613183072329793535
HONORA,613183067636367359
KAGAWONG,613183066457767935
GORE BAY,613183068672360447
GORE BAY,613183068666068991
MELDRUM BAY,613183251504168959
MELDRUM BAY,613183251508363263
BLIND RIVER,613183090000396287
BLIND RIVER,613183090684067839
COCKBURN,613183239323910143
THESSALON,613183245242073087
